id,county,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022,pop_2023,pop_2024,pop_2025,pop_2026,pop_2027,pop_2028,pop_2029,pop_2030,pop_2031,pop_2032,pop_2033,pop_2034,pop_2035,pop_2036,pop_2037,pop_2038,pop_2039,pop_2040
0037,HARJU COUNTY,566741,567967,572103,569055,576215,582509,589610,578391,579653,580806,581995,583040,583875,584566,585139,585600,585906,586067,586180,586225,586271,586259,586037,585817,585635,585516,585506,585619,585880
0039,HIIU COUNTY,8620,8638,8589,9485,9348,9335,9387,7803,7694,7579,7453,7327,7215,7090,6962,6850,6725,6604,6534,6430,6351,6409,6331,6254,6176,6111,6029,5957,5883
0045,IDA-VIRU COUNTY,153716,151909,149483,144941,142934,140388,138266,144173,142650,141121,139587,138039,136487,134903,133428,131830,130224,128662,127102,125533,124012,122442,120934,119387,117836,116280,114735,113201,111407
0052,JÄRVA COUNTY,31204,30913,30425,31788,31318,30978,30661,28749,28388,28032,27688,27328,26970,26600,26241,25863,25488,25115,24744,24373,23991,23599,23242,22873,22510,22136,21783,21450,21143
0050,JÕGEVA COUNTY,31967,31587,31145,30421,29978,29510,29119,29720,29339,29029,28711,28403,28086,27772,27471,27159,26843,26537,26227,25913,25603,25287,25035,24736,24431,24132,23830,23528,23257
0056,LÄÄNE COUNTY,24734,24622,24323,21163,20935,20720,20646,23264,23058,22827,22595,22382,22153,21929,21708,21491,21254,21043,20822,20595,20371,20283,20072,19852,19637,19423,19215,19003,18792
0060,LÄÄNE-VIRU COUNTY,61154,60518,59583,61777,61065,60411,59791,57386,56825,56253,55689,55130,54577,54017,53465,52899,52332,51740,51166,50591,50018,49431,48877,48317,47740,47138,46619,46085,45558
0068,PÄRNU COUNTY,84388,83677,82829,87255,86692,86163,85756,80339,79730,79107,78510,77901,77300,76690,76088,75478,74857,74240,73633,73024,72379,71769,71183,70592,70039,69470,68896,68352,67759
0064,PÕLVA COUNTY,28026,27816,27641,26192,25769,25561,25290,26066,25766,25482,25208,24931,24657,24389,24116,23853,23582,23326,23058,22793,22516,22210,21964,21709,21453,21191,20902,20641,20421
0071,RAPLA COUNTY,35503,35069,34676,33779,33539,33485,33299,34365,34182,33990,33803,33623,33440,33248,33050,32862,32666,32464,32275,32072,31730,31504,31305,31107,30900,30704,30530,30366,30241
0074,SAARE COUNTY,31835,31815,31756,33718,33481,33307,33231,29778,29469,29169,28865,28565,28265,27961,27666,27356,27144,26827,26525,26219,25900,25697,25397,25078,24769,24408,24093,23806,23535
0079,TARTU COUNTY,153479,153100,152188,148356,148814,149295,151122,155783,156196,156581,157034,157468,157855,158231,158587,158916,159199,159453,159654,159845,160104,160273,160326,160150,159716,159590,159589,159649,159190
0081,VALGA COUNTY,31068,30590,30176,29915,29476,29073,28669,28825,28472,28130,27794,27458,27131,26798,26477,26151,25825,25504,25191,24859,24547,24223,23921,23612,23298,22986,22683,22384,22108
0084,VILJANDI COUNTY,48604,48127,47476,48318,47853,47288,46782,45242,44746,44257,43774,43295,42818,42337,41854,41368,40877,40398,39900,39406,38936,38446,37962,37482,37021,36529,36044,35569,35035
0087,VÕRU COUNTY,34178,33826,33426,37408,36953,36440,36133,31608,31236,30856,30504,30151,29807,29465,29105,28768,28414,28061,27716,27364,27007,26669,26320,25982,25688,25353,25039,24717,24420